Restaurant Name,Rating,Number of Reviews,Cost for Two,Cuisine(s),Locality,Type,Delivery Time
M2H Shawarma Rolls & Wraps,4.2,2700,300,"Rolls, Wraps",College Road,Cloud Kitchen,30-35 min
Pizza Hut,4.3,8400,300,Pizza,College Road,Cloud + Dine-in,20-25 min
Oven Story Pizza,4.2,9300,400,"Pizza, Pasta",College Road,Dine-in,35-40 min
Theobroma,4.6,2900,400,"Bakery, Desserts",College Road,Dine-in,20-25 min
Luscious Layers,4.4,10000,350,"Desserts, Cakes",College Road,Dine-in,30-35 min
Tushar Food Hub,4,9200,300,"Maharashtrian, Chinese",College Road,Dine-in,30-35 min
McDonald's,4.4,2800,400,Fast Food,College Road,Dine-in,35-40 min
Sagar Sweet,4.6,3300,250,Sweets,College Road,Dine-in,20-25 min
Al Arabian Express,4.6,16000,500,Arabian,College Road,Dine-in,30-35 min
KFC,4.1,9700,400,Fast Food,College Road,Dine-in,25-30 min
Domino's Pizza,3.9,9200,700,"Pizza, Italian",College Road,Dine-in,20-25 min
Anna Idli,4.6,2100,200,"South Indian, Sandwich",College Road,Cloud Kitchen,30-40 min
Madhur Sweets,4.5,3200,250,"Sweets, Snacks",College Road,Cloud Kitchen,30-40 min
Tales & Spirits,4.5,717,800,"Indian, Italian",College Road,Cloud Kitchen,30-35 min
Lariff Kitchen & Cocktails,4.3,1400,1400,North Indian,College Road,Dine-in,
The Lolo Cafe,4.3,162,500,"Italian, South Indian",College Road,Dine-in,
Airbar,4,1000,1000,"North Indian, South Indian",College Road,Dine-in,
Amritsari Haveli,3.2,124,1400,"North Indian, Continental",College Road,Dine-in,
Cafe Coffee Day,4.1,1000,1000,Fast Food,College Road,Dine-in,
Renaissance Cafe,4.2,3000,500,"North Indian, South Indian",College Road,Dine-in,
Baker's Emporium,4.7,50,300,"Continental, Italian",College Road,Dine-in,
The Waffle Tree,4.7,103,200,"Fast Food, Waffles",College Road,Dine-in,
Caffeine Nova,4.3,176,700,"Beverages, Continental",College Road,Dine-in,
Biryani Express Inn,3.4,36,500,Biryani,College Road,Cloud Kitchen,
Hotel Wansh,4,800,,Middle Eastern,College Road,Dine-in,
Lazeez Darbar,3.7,,,"North Indian, Middle Eastern",College Road,Dine-in,
King Momos Center,4.3,200,,"Fast Food, Momos",College Road,Cloud Kitchen,
Flavor Oasis,3.8,300,,"Chinese, North Indian",College Road,Dine-in,
Junior's Kitchen,4,700,,"Asian, Italian",College Road,Dine-in,
Viju's Dabeli,4,200,,Street Food,College Road,Cloud Kitchen,
Domo's Cafe,5,,500,"Continental, Middle Eastern",College Road,Dine-in,
Tamayo The Restro Cafe,4.4,,600,"Continental, Beverages",College Road,Dine-in,
The Woodfired Eatery,3.9,,500,Fast Food,College Road,Dine-in,
Jaspers Indian Soulfood,4.5,,400,"Continental, American",College Road,Dine-in,
Banjos The Food Chain,4,,350,"Fast Food, Finger Food",College Road,Dine-in,
